date,usd_jpy,aluminum,copper,nickel,lead,tin,zinc,iron_ore
2017-05-01,110.83899688720705,212.04,620.65,1014.74,235.55,2238.98,287.1,62.43
2017-06-01,112.00900268554688,211.17,640.66,1000.44,238.91,2201.97,288.24,57.48
2017-07-01,110.51000213623048,210.3,661.42,1048.89,250.84,2234.9,308.01,67.74
2017-08-01,110.45999908447266,224.23,716.4,1202.91,259.41,2266.75,329.25,76.07
2017-09-01,112.99434661865234,236.89,743.18,1267.32,268.29,2349.9,352.19,71.53
2017-10-01,112.99600219726562,240.85,769.23,1280.9,282.29,2302.42,368.89,61.66
2017-11-01,112.0019989013672,234.92,764.59,1340.89,275.69,2190.48,361.69,64.24
2017-12-01,112.68000030517578,234.43,770.04,1295.27,282.82,2194.6,360.12,72.25
2018-01-01,108.73200225830078,240.27,768.28,1398.82,280.97,2250.42,374.2,76.34
2018-02-01,107.4260025024414,234.38,752.68,1460.55,277.27,2325.94,379.53,77.46
2018-03-01,106.2699966430664,219.9,722.55,1423.22,253.99,2254.19,347.42,70.35
2018-04-01,109.0979995727539,245.98,747.49,1520.62,256.64,2322.82,347.81,65.75
2018-05-01,108.71199798583984,250.0,741.99,1561.81,256.66,2267.61,332.64,66.1
2018-06-01,110.48600006103516,247.23,769.63,1668.96,269.18,2282.7,341.24,65.04
2018-07-01,110.99400329589844,231.12,693.8,1531.04,244.97,2189.89,294.81,64.56
2018-08-01,110.9990005493164,227.72,671.66,1488.65,227.94,2134.37,278.83,67.15
2018-09-01,113.68299865722656,230.37,687.87,1422.21,229.97,2156.24,276.78,68.44
2018-10-01,113.052001953125,229.48,703.14,1392.23,224.7,2161.72,302.26,73.41
2018-11-01,113.41100311279295,219.85,702.69,1274.71,219.69,2162.16,294.38,73.26
2018-12-01,110.33000183105467,211.88,670.29,1195.43,217.61,2124.91,288.66,69.16
2019-01-01,108.9810028076172,202.02,647.25,1255.8,217.65,2229.51,280.05,76.16
2019-02-01,110.86199951171876,206.53,698.48,1406.31,228.69,2357.36,300.12,88.22
2019-03-01,110.87000274658205,207.46,713.94,1444.22,226.89,2371.89,316.05,86.47
2019-04-01,111.677001953125,206.09,719.02,1426.43,216.54,2301.03,327.51,93.7
2019-05-01,109.35700225830078,194.79,658.1,1314.07,198.5,2135.08,299.95,100.15
2019-06-01,107.74700164794922,189.2,633.79,1286.92,204.69,2068.01,280.27,108.94
2019-07-01,108.56199645996094,195.08,644.99,1470.61,214.48,1951.71,265.6,120.24
2019-08-01,106.43800354003906,185.27,607.7,1676.25,217.62,1767.83,241.93,93.07
2019-09-01,107.94400024414062,189.28,621.68,1905.95,223.64,1816.76,251.68,93.08
2019-10-01,108.78900146484376,187.77,626.33,1854.44,237.6,1806.27,266.71,88.53
2019-11-01,109.44499969482422,194.24,641.34,1660.48,221.2,1787.84,265.46,84.98
2019-12-01,108.8730010986328,192.86,661.63,1505.65,206.92,1866.2,247.42,92.65
2020-01-01,108.8769989013672,193.05,656.66,1470.59,209.47,1854.09,256.33,95.76
2020-02-01,108.13600158691406,182.54,615.05,1375.01,202.49,1782.11,228.52,87.68
2020-03-01,108.03500366210938,174.03,559.91,1279.81,187.38,1651.95,205.66,88.99
2020-04-01,106.61000061035156,155.64,539.23,1258.43,176.71,1594.12,202.92,84.73
2020-05-01,107.76000213623048,158.02,564.64,1312.47,175.25,1659.71,212.86,93.65
2020-06-01,107.58999633789062,168.76,619.14,1369.31,187.73,1811.58,217.95,103.3
2020-07-01,104.68299865722656,172.08,667.09,1402.99,190.31,1828.8,227.92,108.52
2020-08-01,105.53500366210938,183.34,685.87,1534.24,204.29,1862.7,254.34,121.07
2020-09-01,105.66400146484376,184.25,708.47,1569.9,197.9,1896.8,258.08,123.75
2020-10-01,104.5540008544922,188.83,701.96,1593.34,185.72,1900.44,255.18,119.78
2020-11-01,104.08200073242188,201.43,735.75,1645.3,199.38,1927.86,278.07,124.36
2020-12-01,103.12100219726562,207.75,801.48,1734.81,208.35,2034.78,286.66,155.43
2021-01-01,104.68000030517578,209.78,834.52,1869.92,210.9,2294.61,283.19,169.63
2021-02-01,106.52999877929688,221.43,902.41,1979.79,221.59,2803.42,292.37,163.8
2021-03-01,110.30500030517578,241.62,991.45,1809.74,214.87,2984.96,307.96,168.18
2021-04-01,108.90399932861328,252.59,1015.51,1799.23,219.11,3085.08,308.09,179.83
2021-05-01,109.90699768066406,267.46,1116.87,1931.84,239.8,3544.08,325.95,207.72
2021-06-01,110.53500366210938,270.44,1064.62,1987.37,242.19,3592.67,326.28,214.43
2021-07-01,109.66999816894533,273.92,1036.47,2063.83,256.35,3730.99,323.25,214.14
2021-08-01,109.94400024414062,286.18,1030.19,2104.47,265.46,3850.68,328.51,162.16
2021-09-01,111.93599700927734,317.29,1043.77,2168.97,251.67,3905.14,339.84,124.52
2021-10-01,113.83499908447266,334.04,1118.91,2204.12,266.92,4294.19,382.48,122.91
2021-11-01,113.8040008544922,300.04,1107.19,2268.44,265.16,4456.42,376.84,96.24
2021-12-01,115.06300354003906,310.16,1098.99,2303.05,264.84,4536.07,391.12,116.96
2022-01-01,115.26200103759766,346.48,1127.53,2576.73,268.77,4816.99,414.84,132.53
2022-02-01,115.58499908447266,375.16,1149.28,2775.84,265.48,5083.82,418.42,142.84
2022-03-01,122.02100372314452,426.87,1248.38,4139.46,286.12,5362.78,483.47,152.07
2022-04-01,129.6820068359375,420.74,1317.75,4296.72,308.7,5575.17,565.47,151.25
2022-05-01,127.78399658203124,361.67,1198.25,3585.94,273.77,4570.76,479.38,131.21
2022-06-01,136.58900451660156,350.14,1232.64,3504.69,282.24,4310.65,495.78,130.74
2022-07-01,133.22999572753906,320.87,1005.2,2862.03,264.49,3383.48,413.73,108.57
2022-08-01,138.73399353027344,337.23,1107.35,3060.11,287.56,3419.44,497.72,108.85
2022-09-01,144.43099975585938,321.32,1118.76,3289.27,270.1,3050.97,451.34,99.81
2022-10-01,147.81199645996094,333.4,1130.92,3256.73,295.6,2866.25,438.59,92.56
2022-11-01,138.7449951171875,326.15,1116.88,3546.7,291.36,2948.26,407.76,93.34
2022-12-01,131.11000061035156,314.89,1098.1,3795.22,290.6,3169.24,410.31,111.84
2023-01-01,130.47900390625,326.43,1179.26,3678.8,287.22,3673.52,431.86,122.23
2023-02-01,136.31700134277344,329.37,1218.21,3643.47,285.32,3661.87,427.2,127.6
2023-03-01,133.2010040283203,305.89,1179.67,3102.07,281.74,3196.82,395.27,128.37
2023-04-01,136.32000732421875,319.43,1200.9,3257.31,293.01,3516.2,377.27,117.39
2023-05-01,139.79200744628906,317.13,1148.74,3071.28,291.27,3569.42,346.08,105.15
2023-06-01,144.77999877929688,316.31,1215.65,3074.15,307.35,3940.43,343.92,113.45
2023-07-01,140.75799560546875,304.0,1193.16,2968.76,296.88,4045.83,338.47,114.43
2023-08-01,146.0989990234375,312.15,1219.8,2986.07,314.67,3809.51,351.62,110.2
2023-09-01,149.3699951171875,326.32,1236.29,2934.32,336.4,3819.98,372.75,120.98
2023-10-01,149.11099243164062,326.88,1183.52,2725.93,318.16,3658.6,365.11,118.97
2023-11-01,147.03900146484375,323.82,1204.19,2503.69,321.79,3553.62,374.01,131.07
2023-12-01,141.02000427246094,307.77,1184.56,2321.31,285.83,3469.13,352.89,137.05
2024-01-01,147.36900329589844,323.15,1228.89,2373.21,307.43,3698.94,370.69,135.82
2024-02-01,150.656005859375,328.35,1251.19,2461.49,313.34,3932.74,355.56,124.39
2024-03-01,151.33999633789062,336.91,1315.01,2639.19,311.19,4154.35,372.45,109.79
2024-04-01,156.31399536132812,391.74,1479.42,2839.28,332.86,4966.8,427.17,112.75
2024-05-01,156.9530029296875,402.51,1591.4,3074.24,348.56,5175.92,464.44,118.88
2024-06-01,160.8800048828125,401.82,1552.2,2815.08,345.43,5153.42,451.94,107.45
2024-07-01,152.6699981689453,358.64,1432.86,2493.85,321.67,4864.14,424.01,106.85
